customer_id,statement_month,limit_balance,annual_income,sex,education,marital_status,age,age_group,credit_limit_band,utilization_ratio,payment_ratio,months_with_delay,recent_delay_flag,high_utilization_flag,income_to_limit,average_bill_amount,average_payment_amount,pay_status_1,pay_status_2,pay_status_3,pay_status_4,pay_status_5,pay_status_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_next_month
1,2025-02,113000.0,63036.0,male,university,married,21,21_to_29,medium,0.3716,0.2661,3,1,0,0.5578,41993.67,11173.67,3,2,0,0,1,0,47567.0,36606.0,46229.0,38918.0,50552.0,32090.0,13945.0,13945.0,14490.0,6159.0,7042.0,11461.0,1
2,2025-10,70000.0,62058.0,female,graduate,married,61,60_plus,low,0.1381,0.3389,1,0,0,0.8865,9669.5,3276.83,0,0,0,0,1,0,7518.0,10933.0,7381.0,9152.0,11250.0,11783.0,2056.0,3954.0,2305.0,1787.0,4163.0,5396.0,0
3,2025-08,27000.0,18429.0,male,graduate,single,36,30_to_39,very_low,0.5147,0.2914,0,0,0,0.6826,13898.0,4050.17,0,0,0,0,0,0,14013.0,11694.0,12317.0,15799.0,14704.0,14861.0,1775.0,1788.0,5880.0,7837.0,4896.0,2125.0,0
4,2025-06,89000.0,42646.0,male,university,single,41,40_to_49,medium,0.7118,0.3105,3,1,0,0.4792,63347.17,19671.67,2,1,0,0,1,0,60587.0,67869.0,56342.0,63841.0,69438.0,62006.0,23647.0,21726.0,20017.0,14198.0,24489.0,13953.0,0
5,2025-06,54000.0,40918.0,female,high_school,married,24,21_to_29,low,0.7712,0.2494,2,1,0,0.7577,41642.83,10387.67,1,0,0,0,0,2,40209.0,46392.0,46339.0,39556.0,42860.0,34501.0,12282.0,8830.0,12539.0,15382.0,6490.0,6803.0,0
6,2025-11,44000.0,33657.0,female,high_school,married,48,40_to_49,low,0.6598,0.2622,2,0,0,0.7649,29029.17,7612.17,0,2,1,0,0,0,29330.0,24642.0,25544.0,35401.0,25131.0,34127.0,10161.0,6037.0,8529.0,11633.0,4010.0,5303.0,0
7,2025-02,71000.0,48743.0,male,university,married,38,30_to_39,medium,0.4933,0.3209,1,1,0,0.6865,35020.83,11238.17,3,0,0,0,0,0,33185.0,37232.0,31819.0,33096.0,36733.0,38060.0,6659.0,17172.0,4988.0,8259.0,16901.0,13450.0,0
8,2025-09,17000.0,21309.0,female,university,married,37,30_to_39,very_low,0.3675,0.3111,1,1,0,1.2535,6247.67,1943.5,3,0,0,0,0,0,6325.0,5654.0,5737.0,6651.0,5750.0,7369.0,1231.0,856.0,2675.0,3018.0,2538.0,1343.0,0
9,2025-03,51000.0,18000.0,female,university,married,21,21_to_29,low,0.9144,0.2525,5,1,1,0.3529,46636.33,11777.33,3,0,2,1,1,3,53550.0,48296.0,43778.0,36982.0,49181.0,48031.0,7249.0,19826.0,8558.0,14970.0,14609.0,5452.0,1
10,2025-02,55000.0,30250.0,female,university,married,39,30_to_39,low,0.7112,0.2289,0,0,0,0.55,39113.5,8953.33,0,0,0,0,0,0,47995.0,40809.0,37347.0,35899.0,41229.0,31402.0,7286.0,10330.0,7476.0,15459.0,5008.0,8161.0,0
11,2025-07,55000.0,51303.0,female,university,other,46,40_to_49,low,0.4137,0.3353,1,0,0,0.9328,22755.83,7629.0,0,0,0,0,1,0,23612.0,22132.0,22260.0,19743.0,22694.0,26094.0,7480.0,8963.0,6497.0,9591.0,3078.0,10165.0,0
12,2025-12,24000.0,18000.0,male,university,married,36,30_to_39,very_low,0.5104,0.2431,0,0,0,0.75,12250.17,2978.17,0,0,0,0,0,0,9909.0,12075.0,12735.0,12062.0,13374.0,13346.0,3678.0,2304.0,4126.0,3346.0,2329.0,2086.0,0
13,2025-09,90000.0,31974.0,male,university,married,50,50_to_59,medium,0.711,0.2552,3,0,0,0.3553,63990.5,16331.83,0,1,1,0,0,3,64616.0,67534.0,57916.0,70853.0,63983.0,59041.0,21668.0,9806.0,19498.0,18091.0,18471.0,10457.0,0
14,2025-10,31000.0,18000.0,female,other,single,49,40_to_49,low,0.47,0.4157,2,1,0,0.5806,14568.5,6056.5,1,1,0,0,0,0,13434.0,12817.0,14703.0,13655.0,14590.0,18212.0,6103.0,4931.0,5582.0,5904.0,6391.0,7428.0,0
15,2025-09,66000.0,41153.0,male,university,single,32,30_to_39,low,0.3029,0.3133,2,0,0,0.6235,19993.0,6264.67,0,0,1,1,0,0,24684.0,16833.0,19133.0,22444.0,18110.0,18754.0,9779.0,6090.0,4342.0,6125.0,2216.0,9036.0,0
16,2025-10,184000.0,120026.0,female,graduate,single,54,50_to_59,very_high,0.2802,0.4348,0,0,0,0.6523,51551.83,22412.33,0,0,0,0,0,0,48757.0,62380.0,42651.0,57021.0,46382.0,52120.0,21777.0,29807.0,15348.0,27232.0,17737.0,22573.0,0
17,2025-07,108000.0,48143.0,female,graduate,married,38,30_to_39,medium,0.4136,0.2683,1,1,0,0.4458,44672.83,11985.0,2,0,0,0,0,0,34017.0,48051.0,43127.0,38615.0,51922.0,52305.0,3728.0,12609.0,8950.0,4871.0,22004.0,19748.0,0
18,2025-02,64000.0,43556.0,male,university,married,38,30_to_39,low,0.3259,0.3142,2,0,0,0.6806,20860.5,6553.83,0,0,1,0,0,2,18633.0,22150.0,21484.0,22700.0,23074.0,17122.0,2710.0,6539.0,8145.0,7285.0,9275.0,5369.0,0
19,2025-11,105000.0,64824.0,male,university,single,39,30_to_39,medium,0.2223,0.2275,0,0,0,0.6174,23337.33,5309.17,0,0,0,0,0,0,25268.0,20654.0,20746.0,25272.0,24895.0,23189.0,4152.0,7692.0,6354.0,3841.0,5899.0,3917.0,0
20,2025-06,70000.0,45978.0,female,university,married,39,30_to_39,low,0.4215,0.3144,0,0,0,0.6568,29508.17,9278.83,0,0,0,0,0,0,27202.0,29851.0,31011.0,33185.0,27608.0,28192.0,10039.0,5388.0,5801.0,15928.0,9923.0,8594.0,0
21,2025-07,46000.0,41634.0,female,university,single,21,21_to_29,low,0.1384,0.2677,0,0,0,0.9051,6364.17,1703.5,0,0,0,0,0,0,6690.0,5558.0,6506.0,6393.0,6139.0,6899.0,3120.0,676.0,1315.0,1756.0,2001.0,1353.0,0
22,2025-05,186000.0,77834.0,female,graduate,single,36,30_to_39,very_high,0.3052,0.3681,2,0,0,0.4185,56774.5,20901.0,0,0,1,0,2,0,63905.0,73469.0,54621.0,47456.0,49458.0,51738.0,12577.0,31343.0,22392.0,21475.0,16008.0,21611.0,0
23,2025-03,59000.0,55556.0,male,university,other,24,21_to_29,low,0.3641,0.3991,0,0,0,0.9416,21480.67,8573.83,0,0,0,0,0,0,17597.0,18195.0,23194.0,21734.0,21301.0,26863.0,7923.0,5493.0,11363.0,6456.0,8455.0,11753.0,0
24,2025-12,77000.0,51441.0,female,university,single,54,50_to_59,medium,0.2174,0.3986,1,0,0,0.6681,16737.33,6671.67,0,2,0,0,0,0,15782.0,18430.0,17250.0,17818.0,16840.0,14304.0,3166.0,7456.0,7653.0,7458.0,7865.0,6432.0,0
25,2025-10,61000.0,42988.0,female,university,single,54,50_to_59,low,0.4764,0.3155,1,0,0,0.7047,29062.0,9170.17,0,0,0,0,1,0,30995.0,27382.0,26000.0,28578.0,28524.0,32893.0,11689.0,4408.0,8903.0,6784.0,12685.0,10552.0,0
26,2025-08,85000.0,39404.0,male,university,married,47,40_to_49,medium,0.7382,0.1862,3,1,0,0.4636,62748.17,11684.33,1,0,1,0,0,1,68311.0,65863.0,56007.0,58475.0,75263.0,52570.0,8784.0,12613.0,6640.0,13883.0,15284.0,12902.0,1
27,2025-05,96000.0,77525.0,female,graduate,single,36,30_to_39,medium,0.3319,0.2544,2,0,0,0.8076,31864.67,8106.5,0,0,0,0,1,1,31475.0,32186.0,36019.0,34509.0,24484.0,32515.0,7705.0,4516.0,4858.0,14650.0,10937.0,5973.0,0
28,2025-10,38000.0,39563.0,female,university,married,28,21_to_29,low,0.4776,0.3084,0,0,0,1.0411,18147.67,5597.33,0,0,0,0,0,0,21244.0,17137.0,15653.0,14269.0,19734.0,20849.0,6717.0,8193.0,4836.0,1914.0,8182.0,3742.0,0
29,2025-07,162000.0,65104.0,female,high_school,other,31,30_to_39,high,0.4497,0.2923,1,0,0,0.4019,72848.17,21295.17,0,0,0,0,0,2,72604.0,81128.0,68849.0,59481.0,76242.0,78785.0,24743.0,35071.0,21039.0,11796.0,26091.0,9031.0,0
30,2025-06,39000.0,25005.0,female,high_school,married,57,50_to_59,low,0.5368,0.2722,1,0,0,0.6412,20934.33,5699.33,0,0,0,0,0,1,22000.0,18769.0,19376.0,21873.0,20274.0,23314.0,5344.0,9206.0,9043.0,3846.0,2799.0,3958.0,1
